id,sex,age,federal_district,type_of_city,knows_election_date,will_vote,candidate,television_usage,internet_usage,education,income,employment,job_type,company_type,weight1
07169ed8148ce047,male,18.0,north caucasian,village,named correct date,not sure,Putin,several times a week,over 4 hours a day,incomplete school education,very high,entrepreneur,,farming,1.4451723016713045
0716a4f3354cecdd,male,23.0,north caucasian,village,named correct date,not sure,Putin,once half a year,over 4 hours a day,college,very high,work for hire,commercial organization,trade,1.4451723016713045
0716889b304ce79c,male,20.0,volga,city with population of less than 50k,named correct date,definitely yes,Putin,several times a week,over 4 hours a day,college,very high,work for hire,law enforcement agency,law enforcement agency,1.3016905687319176
07168e28b5cce563,male,22.0,northwestern,city with population of 1 million and higher,not sure or no answer,not sure,Davankov,several times a week,over 4 hours a day,college,very high,unemployed,,,1.5386284606748153
0716a563914ce549,male,21.0,southern,city with population of 1 million and higher,named correct date,definitely yes,Putin,does not watch,over 4 hours a day,bachelor degree,very high,employed student,commercial organization,"tech, programming, communications",1.9670151068732695
0716aac995cce5ae,male,27.0,southern,city with population of 1 million and higher,named correct date,not sure,Putin,does not watch,less than 4 hours a day,incomplete school education,very high,work for hire,commercial organization,refused to answer,1.1275579843143275
07169cf9604cee1c,male,37.0,northwestern,city with population of less than 50k,named correct date,definitely yes,Putin,once half a year,several times a week,school,very high,work for hire,commercial organization,"industry, manufacturing",0.5793843525877674
07168daf680ceff8,male,43.0,southern,city with population of 50-100k,named correct date,definitely yes,Putin,does not watch,less than 4 hours a day,college,very high,self-employed,,other,0.6622586842372166
0716aa97fe4ce46d,male,39.0,northwestern,city with population of 100-500k,wrong answer,definitely yes,Putin,does not watch,over 4 hours a day,college,very high,unemployed pensioner,,,0.4682264408499648
0716921d124ce8cd,male,36.0,central,city with population of 1 million and higher,not sure or no answer,likely no,Putin,less than 4 hours a day,over 4 hours a day,bachelor degree,very high,entrepreneur,,housing and communal services,1.1112583546871004
0716c4eb284cec10,male,43.0,central,city with population of 1 million and higher,named correct date,definitely no,will not take part,does not watch,over 4 hours a day,bachelor degree,very high,entrepreneur,,finances,1.1112583546871004
0716bcd1898ce8a6,male,49.0,central,settlement,named correct date,definitely yes,Putin,over 4 hours a day,over 4 hours a day,academic degree,very high,work for hire,commercial organization,"industry, manufacturing",1.01714910312819
0716784400cce894,male,60.0,ural,city with population of 100-500k,named correct date,definitely yes,Putin,does not watch,does not use internet,college,very high,employed pensioner,government agency,education,0.6805227089684727
0716a2204f4ce9ea,female,20.0,volga,village,named correct date,definitely no,Putin,several times a month,less than 4 hours a day,school,very high,unemployed student,,,1.3638397531173874
07167d63ed4ce358,female,23.0,north caucasian,city with population of 100-500k,named correct date,definitely yes,Davankov,does not watch,over 4 hours a day,school,very high,unemployed,,,0.9335161970724184
071683ce658cece0,female,44.0,volga,city with population of 100-500k,named correct date,definitely yes,spoilt vote,once half a year,over 4 hours a day,bachelor degree,very high,work for hire,commercial organization,healthcare,1.0072556913692174
0716bd93090ce584,female,61.0,central,city with population of less than 50k,named correct year,definitely yes,Putin,over 4 hours a day,less than 4 hours a day,college,very high,unemployed pensioner,,,0.770805500143632
071661f7fbcced2d,female,67.0,siberian,city with population of 100-500k,named correct date,definitely yes,Putin,over 4 hours a day,does not use internet,college,very high,unemployed pensioner,,,0.6662991571750133
07167a7849ccee79,female,23.0,central,city with population of 1 million and higher,wrong answer,definitely yes,Putin,once half a year,does not use internet,college,very high,unemployed pensioner,,,1.1438715698656825
